Metric,Category,Weight,Before,After,Source,Status,Notes
Canonical coverage of core trust pages,Trust Surface,35,Pull canonicals from the pre-rework git snapshot for index trust-chain demo explainer listings and platform pages,Check canonicals on the current wpatent.com core pages,Repo HTML + tests,Ready,Use git history for the before state and the working tree or live site for the after state
Trust Chain explainer publicly indexed,Trust Surface,35,Record whether the explainer existed in the pre-rework snapshot,Confirm trust-chain-explainer.htm is public linked and sitemap-listed,Repo HTML + sitemap + robots,Ready,This row should stay tied to trust-chain-explainer.htm
Andrew to W&Patent linkage visible on core pages,Authority Transfer,20,Review pre-rework founder naming and schema linkage,Review current founder naming and schema linkage,Repo HTML + JSON-LD,Ready,Check both visible copy and machine-readable markup
Perplexity cites wpatent.com on target prompts,AI Visibility,25,Run the fixed prompt set against the pre-rework positioning snapshot,Run the fixed prompt set against the current site,Perplexity prompt checks,Manual run required,Track yes no plus which page was cited
ChatGPT or AI Mode mentions W&Patent on target prompts,AI Visibility,25,Run the fixed prompt set against the pre-rework positioning snapshot,Run the fixed prompt set against the current site,ChatGPT / AI Mode prompt checks,Manual run required,Use the same prompt list as the Perplexity check
Founder named in AI answer,Authority Transfer,20,Capture whether Andrew is named in the pre-rework answer set,Capture whether Andrew is named in the current answer set,Manual AI answer review,Manual run required,This row ties author identity to the cited company
Search Console impressions for Trust Chain pages,Business Outcome,20,Pull pre-rework impressions for trust-chain.htm trust-chain-demo.htm and trust-chain-explainer.htm,Pull current impressions for the same pages,Search Console,Manual run required,Keep the page list fixed between refreshes
Average engagement time on trust-chain-explainer.htm,Business Outcome,20,Pull pre-rework engagement if available,Pull current engagement time,GA,Manual run required,Use page-level engagement rather than sitewide averages
Starter template downloads,Business Outcome,20,Record pre-rework starter-kit download baseline,Record current starter-kit download total,Download logs or equivalent analytics,Manual run required,If direct download tracking is unavailable note that clearly in the summary
Scorecard requests,Business Outcome,20,Record pre-rework scorecard-request baseline,Record current scorecard-request total,Mail inbox or intake tracking,Manual run required,Use the same request definition on every refresh
